Mean_Correlation,Cluster
1.0,1
1.0000000000000002,1
0.9999999999999968,1
0.7536875653399694,1
1.0000000000000009,1
1.0,1
0.9218383382030704,1
1.0000000000000004,1
0.9999999999999996,1
1.0,1
0.8453658862730381,1
1.0000000000000002,1
1.0000000000000004,1
1.0,1
1.0,1
1.0000000000000009,1
1.0000000000000002,1
0.8724733822547739,1
0.7337442381161245,1
0.8571450236194663,1
0.7785979058376459,1
0.8521491378317534,1
0.03839620532765,2
0.0737086350942556,2
0.0917647058823529,2
0.104,2
0.1294440350142034,2
0.1081837377159542,2
0.0583476679705584,2
0.6400000000000032,2
0.5327597364381658,2
0.1640455871190731,2
0.145,2
0.092705500750244,2
0.0581901502473548,2
0.205,2
0.1234822247785856,2
0.0454545454545454,2
0.0745788300541377,2
0.0466355483558685,2
0.074072710765114,2
0.0558848413821703,2
0.0872422005922154,2
0.117901082262459,2
0.072888145830487,2
0.1679050227455802,2
0.0751004282217228,2
0.2932542195421722,2
0.1050798379048507,2
0.0569173942325526,2
0.2599999999999999,2
0.0759815532600766,2
0.1108178867575911,2
0.0769230769230774,2
0.0444701707675151,2
0.104117732675356,2
0.3625999044702127,2
0.1657142857142857,2
0.0635294117647058,2
0.1904342967729716,2
0.0817408956961757,2
0.1603850886404885,2
0.2102481412630136,2
0.0773054922619176,2
0.0701083879176476,2
0.0463092319386634,2
0.1321783514942576,2
0.084496821089746,2
0.1579879930156262,2
0.1008156675906665,2
0.2290319578253587,2
0.3515550267550558,2
0.0769230769230769,2
0.1948810261239499,2
0.2985173721864431,2
0.1254545454545449,2
0.0549372887611935,2
0.1703114422816123,2
0.0573307873383639,2
0.1432641978164203,2
0.2199999999999998,2
0.0802802770420862,2
0.1532189338826508,2
0.0804235432795989,2
0.1118092505322383,2
0.2654545454545455,2
0.2300627992001215,2
0.4999999999999999,2
0.0814666576701863,2
0.0929959951636804,2
0.3333333333333333,2
0.0539541559812925,2
0.0814034377650964,2
0.1280239450078115,2
0.1703455484273832,2
0.1252468912145539,2
0.1115119347311014,2
0.0617788467809927,2
0.2499999999999999,2
0.067174540516054,2
0.6400000000000011,2
0.0466394254440587,2
0.1408193317499667,2
0.1838502438663671,2
0.1442163243663227,2
0.2,2
0.1273019307141964,2
0.2266666666666662,2
0.1494316381375768,2
0.1064603556415696,2
0.1597037163578904,2
0.125,2
0.0931458829988964,2
0.0962231982238558,2
0.1351304605215233,2
0.2387020558011119,2
0.2714803536308536,2
0.25,2
0.2146245894694116,2
0.0737313249661384,2
0.374474671270922,2
0.0738990205900533,2
0.232326928835581,2
0.2214517330874794,2
0.3341303764600496,2
0.1442223593955862,2
0.0624227333151036,2
0.136441607540149,2
0.1899999999999999,2
0.6617975009577853,2
0.0871264390127999,2
0.1199678279355988,2
0.0739819092412903,2
0.2039470330580707,2
0.5,2
0.1589318559757462,2
0.1291770350064171,2
0.0882239005341758,2
0.0448172723987438,2
0.0559484488491965,2
0.0769230769230769,2
0.148601079693258,2
0.2870074571537676,2
0.2234181382920083,2
0.6726635938066589,2
0.2237877868062817,2
0.1714346206357133,2
0.1178450467020228,2
0.3047791647334251,2
0.1984043811496138,2
0.1169230769230768,2
0.313756031628181,2
0.640000000000001,2
0.2719169764187811,2
0.0797404082661486,2
0.1309090909090927,2
0.0819654213667868,2
